fecha hora var lev value
2023-03-23 21:00:00 temp 925 298.5991
2023-03-23 21:00:00 temp 900 296.2522
2023-03-23 21:00:00 temp 850 291.5786
2023-03-23 21:00:00 temp 800 288.6108
2023-03-23 21:00:00 temp 750 285.9676
2023-03-23 21:00:00 temp 700 283.3459
2023-03-23 21:00:00 temp 650 280.554
2023-03-23 21:00:00 temp 600 277.2831
2023-03-23 21:00:00 temp 550 273.6494
2023-03-23 21:00:00 temp 500 269.3489
2023-03-23 21:00:00 temp 450 264.3794
2023-03-23 21:00:00 temp 400 258.3645
2023-03-23 21:00:00 temp 350 251.4091
2023-03-23 21:00:00 temp 300 243.2142
2023-03-23 21:00:00 temp 250 232.7182
2023-03-23 21:00:00 temp 200 219.6614
2023-03-23 21:00:00 temp 150 203.9289
2023-03-23 21:00:00 temp 100 192.0073
2023-03-23 21:00:00 temp 50 204.3816
2023-03-23 22:00:00 temp 1020 289.9589
2023-03-23 22:00:00 temp 1000 289.0176
2023-03-23 22:00:00 temp 950 300.822
2023-03-23 22:00:00 temp 925 298.5433
2023-03-23 22:00:00 temp 900 296.2076
2023-03-23 22:00:00 temp 850 291.5223
2023-03-23 22:00:00 temp 800 288.5695
2023-03-23 22:00:00 temp 750 285.962
2023-03-23 22:00:00 temp 700 283.251
2023-03-23 22:00:00 temp 650 280.4755
2023-03-23 22:00:00 temp 600 277.227
2023-03-23 22:00:00 temp 550 273.5293
2023-03-23 22:00:00 temp 500 269.2026
2023-03-23 22:00:00 temp 450 264.1565
2023-03-23 22:00:00 temp 400 258.2059
2023-03-23 22:00:00 temp 350 251.3145
2023-03-23 22:00:00 temp 300 243.1941
2023-03-23 22:00:00 temp 250 232.6524
2023-03-23 22:00:00 temp 200 219.6632
2023-03-23 22:00:00 temp 150 203.8821
2023-03-23 22:00:00 temp 100 192.3239
2023-03-23 22:00:00 temp 50 204.3217
2023-03-23 23:00:00 temp 1020 289.8058
2023-03-23 23:00:00 temp 1000 288.8843
2023-03-23 23:00:00 temp 950 300.3582
2023-03-23 23:00:00 temp 925 298.2904
2023-03-23 23:00:00 temp 900 296.0009
2023-03-23 23:00:00 temp 850 291.3418
2023-03-23 23:00:00 temp 800 288.507
2023-03-23 23:00:00 temp 750 286.0548
2023-03-23 23:00:00 temp 700 283.255
2023-03-23 23:00:00 temp 650 280.3617
2023-03-23 23:00:00 temp 600 277.1647
2023-03-23 23:00:00 temp 550 273.4636
2023-03-23 23:00:00 temp 500 269.1122
2023-03-23 23:00:00 temp 450 264.0158
2023-03-23 23:00:00 temp 400 257.9659
2023-03-23 23:00:00 temp 350 251.2546
2023-03-23 23:00:00 temp 300 243.1171
2023-03-23 23:00:00 temp 250 232.5677
2023-03-23 23:00:00 temp 200 219.3698
2023-03-23 23:00:00 temp 150 203.7298
2023-03-23 23:00:00 temp 100 192.9029
2023-03-23 23:00:00 temp 50 204.4265
2023-03-24 00:00:00 temp 1020 289.6417
2023-03-24 00:00:00 temp 1000 288.7544
2023-03-24 00:00:00 temp 950 299.4228
2023-03-24 00:00:00 temp 925 297.5003
2023-03-24 00:00:00 temp 900 295.4615
2023-03-24 00:00:00 temp 850 291.213
2023-03-24 00:00:00 temp 800 288.3618
